#,Team,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
1,LAD,709,458,251,206,3259,709,6363.2,9.43,2.62,1.05,0.266,76.40%,44.40%,12.30%,93.4,3.14,,3.6,3.73,105.8
2,HOU,708,440,268,196,2895,708,6331.2,9.76,2.99,1.1,0.275,76.20%,43.80%,12.90%,94.1,3.45,,3.71,3.77,101.8
3,NYY,708,427,281,207,2954,708,6287,9.63,3.01,1.23,0.286,74.50%,42.80%,13.50%,94.7,3.83,,3.93,3.91,89.2
4,TBR,708,412,296,207,3186,708,6341.2,9.16,2.76,1.09,0.282,74.10%,43.20%,12.30%,94.1,3.62,,3.75,3.89,84.4
5,CLE,708,391,317,193,2961,708,6295,9.23,2.82,1.23,0.286,75.00%,41.70%,13.30%,93.4,3.79,,3.96,3.97,81.4
6,NYM,708,367,341,172,2934,708,6253,9.44,3.03,1.19,0.298,73.40%,42.70%,13.20%,94.5,4.04,,3.95,3.97,80.8
7,CHW,707,343,364,171,3081,707,6227.2,8.86,3.57,1.23,0.292,71.70%,41.90%,12.80%,94.5,4.31,,4.3,4.37,75.2
8,MIL,709,395,314,209,3126,709,6319.2,9.52,3.38,1.17,0.283,73.50%,43.60%,13.80%,93.2,3.89,,4.01,3.95,74.7
9,PHI,708,358,350,169,3098,708,6243.1,9.07,3.18,1.24,0.303,71.90%,44.70%,14.30%,93.9,4.34,,4.14,4.03,74.5
10,ATL,707,411,296,192,3162,707,6290.1,9,3.46,1.08,0.287,73.90%,43.90%,12.60%,93.9,3.88,,4.02,4.11,69.5
11,SFG,708,367,341,185,3255,708,6336,8.41,3,1.04,0.292,72.00%,44.40%,11.80%,93.1,3.93,,3.93,4.14,68.1
12,SDP,708,341,367,187,3115,708,6282.2,9.18,3.06,1.21,0.293,72.20%,42.90%,13.50%,93.7,4.21,,4.06,4.05,67
13,CIN,708,318,390,165,3108,708,6240.2,9.18,3.62,1.34,0.294,72.20%,43.40%,15.00%,94.4,4.48,,4.42,4.19,65.8
14,BOS,708,386,322,181,3246,708,6303.2,9.42,3.49,1.21,0.31,71.90%,43.00%,13.20%,94.1,4.42,,4.15,4.17,65.7
15,MIN,708,366,342,174,3077,708,6276.1,8.64,3.08,1.26,0.296,72.00%,41.10%,13.00%,92.6,4.31,,4.24,4.27,61.9
16,STL,706,392,314,195,3011,706,6225,8.1,3.53,1.01,0.282,74.00%,45.10%,11.90%,93.6,3.87,,4.16,4.34,60
17,OAK,708,376,332,179,3048,708,6305.1,7.96,2.94,1.2,0.282,73.40%,41.60%,12.00%,92.9,4.06,,4.24,4.43,58.2
18,LAA,708,328,380,156,3178,708,6262.2,8.84,3.53,1.31,0.291,71.30%,42.00%,14.00%,93.2,4.49,,4.41,4.34,57
19,SEA,708,364,344,200,3092,708,6292,8.23,2.96,1.31,0.288,71.80%,41.50%,13.10%,93.1,4.32,,4.35,4.39,52.8
20,COL,708,330,378,171,3045,708,6249.2,7.95,3.45,1.32,0.306,68.80%,45.00%,14.70%,94,5.01,,4.59,4.41,52.5
21,TOR,708,355,353,169,3235,708,6245.1,8.66,3.32,1.31,0.297,72.30%,42.60%,13.50%,93.1,4.39,,4.38,4.36,52.5
22,CHC,709,358,351,184,3200,709,6293,8.64,3.54,1.24,0.29,73.80%,44.70%,14.40%,92.7,4.14,,4.38,4.24,50.3
23,WSN,708,321,387,156,3159,708,6195,8.72,3.38,1.43,0.294,72.50%,41.30%,14.50%,93.5,4.58,,4.57,4.4,47.9
24,TEX,708,295,413,153,2956,708,6245,7.99,3.46,1.36,0.296,70.30%,43.00%,14.10%,93.7,4.78,,4.66,4.56,45.2
25,MIA,707,287,420,149,3134,707,6242.2,8.5,3.58,1.22,0.29,71.70%,42.30%,13.00%,93.5,4.38,,4.4,4.46,40.8
26,PIT,707,293,414,135,3033,707,6204.1,8.53,3.66,1.26,0.302,70.20%,42.70%,13.40%,93.8,4.73,,4.49,4.49,40.5
27,DET,705,277,428,159,3199,705,6190,7.97,3.35,1.34,0.295,70.60%,42.10%,13.30%,93,4.64,,4.6,4.6,40.3
28,BAL,708,261,447,138,3048,708,6228,7.78,3.39,1.51,0.3,69.60%,41.40%,14.50%,92.9,5.11,,4.9,4.73,39.9
29,KCR,708,282,426,159,3059,708,6207.1,7.89,3.66,1.25,0.308,70.60%,43.40%,13.00%,93.5,4.83,,4.58,4.63,39.8
30,ARI,708,318,390,152,3149,708,6293.2,8.37,3.33,1.3,0.292,72.30%,42.20%,13.70%,92.4,4.38,,4.43,4.39,35.1
